Title,Paragraph
[2024] SGHC 135,"Para 135
Suit No 520 of 2014
Between
(1)
(2)
Lim Seong Ong (formerly 
known as Lim Jing Jie)
Lim Thiam Chai
… Plaintiffs
And
Panshore Engineering Pte Ltd
… Defendant
JUDGMENT
[Contract — Breach — Obligation to provide loan to company]
[Contract — Breach — Assessment of damages]
Version No 1: 24 May 2024 (12:12 hrs)
ii
TABLE OF CONTENTS
INTRODUCTION............................................................................................1
BACKGROUND ..............................................................................................2
JOINT VENTURE...............................................................................................2"
[2024] SGHC 135,"Para 7
SEPTEMBER 2011 AGREEMENT.....................................................................3
ROLAND’S BREACH OF HIS CONTRACTUAL OBLIGATION TO LEND ASIA 
LINK $400,000................................................................................................5
ASSESSMENT OF DAMAGES .....................................................................5
DAMAGES CLAIMED BY PANSHORE.................................................................5
BASIS OF PANSHORE’S CLAIMS........................................................................6
BURDEN OF PROOF ..........................................................................................7
DID ROLAND’S BREACH CAUSE ASIA LINK TO BE WOUND UP?........................8
PANSHORE’S CLAIM FOR $700,000 THAT PANSHORE HAD LENT ASIA 
LINK..............................................................................................................12
PANSHORE’S CLAIM FOR $1,958,993.67 IN EXPENSES PAID ON BEHALF 
OF ASIA LINK................................................................................................13
PANSHORE’S CLAIM FOR $422,170.26 AS THE VALUE OF PANSHORE’S 
ASSETS LEFT BEHIND AT THE PREMISES.........................................................17
CONCLUSION...............................................................................................22
Version No 1: 24 May 2024 (12:12 hrs)
This judgment is subject to final editorial corrections approved by the 
court and/or redaction pursuant to the publisher’s duty in compliance 
with the law, for publication in LawNet and/or the Singapore Law 
Reports.
Lim Seong Ong and another
v
Panshore Engineering Pte Ltd
[2024] SGHC 135
General Division of the High Court — Suit No 520 of 2014
Andre Maniam J"
[2024] SGHC 135,"Para 29
February, 1 March, 19 April 2024"
[2024] SGHC 135,"Para 24
May 2024
Judgment reserved.
Andre Maniam J:
Introduction"
[2024] SGHC 135,"Para 1
The second plaintiff, Lim Thiam Chai (“Roland”) and his brother Lim 
Seong Ong (“Kenny”, the first plaintiff) were shareholders and directors of Asia 
Link Marine Industries Pte Ltd (“Asia Link”). Asia Link and the defendant 
(“Panshore”) entered into a joint venture on 1 March 2011, and Panshore 
became a shareholder of Asia Link at some point thereafter."
[2024] SGHC 135,"Para 2
On 7 September 2011, Panshore, Roland, and Kenny entered into an 
agreement (the “7 September 2011 agreement”) which was essentially a 
shareholders’ agreement between the three shareholders of Asia Link (ie, 
Panshore, Roland, and Kenny) regarding the affairs of Asia Link. An aspect of 
the 7 September 2011 agreement related to Panshore, Roland, and Kenny 
providing loans to Asia Link, to be used for the repayment of Asia Link’s “trade 
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 2
debts”. Panshore was to lend Asia Link $1,000,000, Roland and Kenny (jointly) 
were to lend Asia Link $400,000. In the event, Panshore lent Asia Link the first 
$700,000 expected of Panshore, but Roland and Kenny did not lend Asia Link 
anything."
[2024] SGHC 135,"Para 3
Panshore’s counterclaim in this suit included a claim that Roland had 
breached the 7 September 2011 agreement by not lending Asia Link $400,000 
as he had promised. I granted Panshore interlocutory judgment on that claim for 
damages to be assessed, but dismissed Panshore’s other claims against Roland 
– my judgment on liability is [2023] SGHC 257. The present judgment deals 
with the assessment of damages.
Background
Joint venture"
[2024] SGHC 135,"Para 4
From 1 March 2011, Panshore and Asia Link were in a joint venture 
whereby Panshore would carry out marine offshore engineering work at Tuas 
Crescent (the “Premises”, which Asia Link had rented from Jurong Town 
Corporation (“JTC”)). Panshore and Asia Link were to share in the profits from 
projects completed at the Premises. Roland and Kenny were Asia Link’s 
directors and shareholders at the start of the joint venture."
[2024] SGHC 135,"Para 5
Asia Link was wound up on 1 March 2013, and Panshore left the 
Premises in April 2014.
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 3
7 September 2011 agreement"
[2024] SGHC 135,"Para 6
Clauses 1 and 2 of the 7 September 2011 agreement provided for 
Panshore, Roland, and Kenny to make loans to Asia Link:1
(a)
clause 1 stipulated that Panshore would provide a loan of 
$1,000,000 to Asia Link; and
(b)
clause 2 stipulated that Roland and Kenny would provide a loan 
of $400,000 to Asia Link."
[2024] SGHC 135,"Para 7
The loans were to be disbursed in three tranches: 2
(a)
the first tranche of $400,000 from Panshore, was said to have 
been “[a]lready disbursed on 9th June 2011”;
(b)
the second tranche comprised $300,000 from Panshore, and 
$200,000 from Roland and Kenny;
(c)
the third tranche comprised a further $300,000 from Panshore, 
and a further $200,000 from Roland and Kenny."
[2024] SGHC 135,"Para 8
Besides the first tranche payment of $400,000 (which the parties agreed 
had been disbursed), Panshore also lent Asia Link the $300,000 required of 
Panshore under the second tranche."
[2024] SGHC 135,"Para 1
Affidavit of Evidence-in-Chief of Kang Wak Chia dated 15 December 2023 (“Kang’s 
AEIC”) at Tab 1 p 32."
[2024] SGHC 135,"Para 2
Kang’s AEIC at Tab 1 p 32. 
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 4
9
However, Roland and Kenny did not lend Asia Link the $400,000 
required of them, and Panshore did not lend Asia Link the $300,000 required of 
it under the third tranche."
[2024] SGHC 135,"Para 10
Clause 3 stipulated that Asia Link would undertake to utilise and apply 
the loan (ie, what Panshore was to lend under clause 1, and Roland and Kenny 
were to lend under clause 2) for the repayment of the company’s “trade debts” 
in the following order:3
(a)
Immediate
Judgment Debts
S$611,418.87
(b)
Urgent
Legal Cases
S$137,625.57
(c)
On-going
Trade creditors
S$1,557,907.45 (Note 1)
Total
S$2,306,951.89"
[2024] SGHC 135,"Para 11
Note 1 to clause 3 states, with respect to the “trade creditors” amount of 
$1,557,907.45: “This is nett of amount due to Orion Logistics Pte Ltd of 
S$828,188.76, and amount due from Orion Logistics Pte Ltd of S$792,213.90. 
Lim Seong Ong undertake (sic) to resolve the indebtedness for Orion Logistics 
Pte Ltd.”4"
[2024] SGHC 135,"Para 12
Note 2 to clause 3 states: “The loans (sic) does not take into account the 
fees and charges to lawyers, and the amount in respect of the Yip Holdings case. 
Such amounts to be resolved by Lim Thiam Chai and Lim Seong Ong.”5"
[2024] SGHC 135,"Para 3
Kang’s AEIC at Tab 1 p 32."
[2024] SGHC 135,"Para 4
Kang’s AEIC at Tab 1 p 32."
[2024] SGHC 135,"Para 5
Kang’s AEIC at Tab 1 p 32.
Version No 1: 24 May 2024 (12:12 hrs)
Lim Seong Ong v
[2024] SGHC 135
Panshore Engineering Pte Ltd"
[2024] SGHC 135,"Para 5
13
The reference in clause 3 to Asia Link’s “trade debts” states that they 
were “listed in Appendix A attached”, but that Appendix A was not in evidence. 
Panshore’s witness Mr Kang also said that when he signed the 7 September"
[2024] SGHC 135,"Para 2011
agreement, there was no Appendix A attached to it.6
Roland’s breach of his contractual obligation to lend Asia Link $400,000"
[2024] SGHC 135,"Para 14
Kenny and Roland never lent Asia Link the sum of $400,000 (or any 
sum) pursuant to the 7 September 2011 agreement. I thus found Roland to be in 
breach of clause 2 of the agreement, and granted Panshore interlocutory 
judgment accordingly.
Assessment of damages
Damages claimed by Panshore"
[2024] SGHC 135,"Para 15
Panshore says that because Roland breached his obligation to lend 
$400,000 to Asia Link (which Panshore was in a joint venture with), Panshore 
suffered loss and damage for which Roland should compensate Panshore."
[2024] SGHC 135,"Para 16
Panshore claims the following heads of damage:
(a)
$700,000 lent by Panshore to Asia Link;
(b)
$1,958,993.67 in expenses paid by Panshore on behalf of Asia 
Link from January 2012 to April 2014; and"
